country,GDP,GDP per capita
Dominican Republic,94243426487.0833,8476.7496882797
Ecuador,106165866000.0,5965.13287054416
"Egypt, Arab Rep.",424671765455.704,3886.7224983901
El Salvador,29451240000.0,4664.31122268385
Equatorial Guinea,12269393392.1579,7506.66786103709
Estonia,37191166151.98,27943.701219882
Eswatini,4748702400.66283,3982.90522931685
Ethiopia,111261882913.342,925.000697216762
Faroe Islands,3649878680.22811,69010.1662014429
Fiji,4296235427.52339,4646.53792141919
Finland,296387625263.561,53489.7520190898
France,2957879759263.52,43658.9789781222
French Polynesia,6080359305.28965,19999.0767593202
Gabon,20217946921.2063,8635.7971437495
"Gambia, The",2038414973.57173,772.151452383989
Georgia,18629365612.096,5023.27438368985
Germany,4259934911821.64,51203.5544731043
Ghana,79156409409.8581,2410.87730858166
Greece,214873879833.648,20192.5963039061
Greenland,3235816195.06609,57116.4138715706
Grenada,1122800000.0,9010.5127999358
Guam,6123000000.0,35904.8635462723
Guatemala,86053079767.3507,5029.47733808268
Guinea,16091817842.2348,1189.17599946636
Guinea-Bissau,1638517606.88578,795.118605034735
Guyana,8044498800.95923,9998.54431136155
Haiti,20877414952.1236,1823.74222440796
Honduras,28488721296.2012,2771.72261645247
"Hong Kong SAR, China",368911387845.418,49764.793115622
Hungary,182275444031.79,18772.1411117581
Iceland,25552639899.067,68594.0081044426
India,3150306834279.65,2238.12713873311
Indonesia,1186505455720.81,4334.21598260314
"Iran, Islamic Rep.",359096907772.985,4084.20030479458
Iraq,207691599310.345,4770.83534274738
Ireland,504182603275.542,100172.079253421
Israel,488526545878.891,52166.8121647134
Italy,2114355756913.92,35770.0496120858
Jamaica,14657586359.3802,5183.58110028848
Japan,5005536736792.29,39827.1267678179
Jordan,45116317042.2535,4046.93146710672
Kazakhstan,197112255360.612,10373.7897924367
Kenya,109703659312.872,2069.66113651418
Kiribati,227610034.764306,1766.14394497188
"Korea, Rep.",1810955871380.98,34997.7816427848
Kosovo,9412034299.23122,5269.78390114389
Kuwait,136797422273.868,32186.7654076734
Kyrgyz Republic,8740681889.20633,1306.17799234979
Lao PDR,18827148530.0151,2535.62343427332
Latvia,39725383601.2125,21080.1774491839
Lebanon,23131941556.7843,4136.14657516013
Lesotho,2373416268.51107,1040.30862270774
Liberia,3509000000.0,675.66318584916
Libya,39798423941.0335,5908.9513231651
Liechtenstein,7186428783.11896,184083.321373984
Lithuania,66414994991.7935,23712.5357765275
Luxembourg,85506243833.7816,133590.146975586
"Macao SAR, China",30123795336.8931,43873.4171613356
Madagascar,14554754115.2112,503.352081144811
Malawi,12602334123.7637,633.609733286822
Malaysia,372981073017.749,11109.2652881747
Maldives,5405557161.73799,10366.2567800183
Mali,19309463505.9833,881.510088639799
Malta,17743376199.3523,34218.2147417968
Marshall Islands,259538700.0,6172.14506539834
Mauritania,9996240418.70784,2166.04479650543
Mauritius,11476433603.7814,9062.72247588818
Mexico,1272838810896.09,10045.676371041
"Micronesia, Fed. Sts.",404028900.0,3571.33676887856
Moldova,13692230147.0588,5235.63604416292
Monaco,8596156573.64327,234317.084818276
Mongolia,15286441740.129,4566.14013102675
Montenegro,5861430525.58447,9465.96640819442
Morocco,142866583124.696,3795.38696289063
Mozambique,15776757419.5197,491.83907494798
Myanmar,65124769601.7482,1210.5406876897
Namibia,12446290854.8973,4919.18895548026
Nauru,145536603.234791,11632.6914902719
Nepal,36924841430.0574,1229.39420520705
Netherlands,1011798853062.0,57708.1112134322
New Caledonia,10071349707.1581,36668.4253519191
New Zealand,255551704625.831,49996.4206725811
Nicaragua,14145852100.7591,2064.92511550317
Niger,14915002098.4975,590.629481388087
Nigeria,440833583992.485,2065.74906750923
North Macedonia,13825049831.7959,6694.64112581709
Norway,490293364377.183,90655.3910229392
Oman,88191977373.212,19509.4664633867
Pakistan,348262544719.247,1505.01019279459
Palau,217800000.0,12083.8881491345
Panama,67406738051.7437,15491.2897902482
Papua New Guinea,26311656000.0,2644.53717330941
Paraguay,39950899733.227,5959.44176327886
Peru,223717791482.577,6635.46392344859
